기준일,누적 시작일,누적 종료일,거래일수,순위,구간 하단,구간 상단,구간 중심,외국인 계약,기관 계약,순계약,활동 계약,현재가 대비,해석
2026-09-03,2026-07-30,2026-09-03,19,1,990.0,995.0,992.5,-12589.0,12893.0,304.0,25482.0,현재가 하단,외국인 숏·기관 롱 충돌
2026-09-03,2026-07-30,2026-09-03,19,2,1080.0,1085.0,1082.5,-6978.0,8232.0,1254.0,15210.0,현재가 상단,외국인 숏·기관 롱 충돌
2026-09-03,2026-07-30,2026-09-03,19,3,1025.0,1030.0,1027.5,-8107.0,6014.0,-2093.0,14121.0,현재가 구간,외국인 숏·기관 롱 충돌
2026-09-03,2026-07-30,2026-09-03,19,4,1085.0,1090.0,1087.5,5801.0,-5777.0,24.0,11578.0,현재가 상단,외국인 롱·기관 숏 충돌
2026-09-03,2026-07-30,2026-09-03,19,5,1070.0,1075.0,1072.5,3352.0,-4508.0,-1156.0,7860.0,현재가 상단,외국인 롱·기관 숏 충돌
2026-09-03,2026-07-30,2026-09-03,19,6,975.0,980.0,977.5,3913.0,-3115.0,798.0,7028.0,현재가 하단,외국인 롱·기관 숏 충돌
2026-09-03,2026-07-30,2026-09-03,19,7,865.0,870.0,867.5,-4241.0,2764.0,-1477.0,7005.0,현재가 하단,외국인 숏·기관 롱 충돌
2026-09-03,2026-07-30,2026-09-03,19,8,1065.0,1070.0,1067.5,3666.0,-2701.0,965.0,6367.0,현재가 상단,외국인 롱·기관 숏 충돌
2026-09-03,2026-07-30,2026-09-03,19,9,1050.0,1055.0,1052.5,2657.0,-3340.0,-683.0,5997.0,현재가 상단,외국인 롱·기관 숏 충돌
2026-09-03,2026-07-30,2026-09-03,19,10,1075.0,1080.0,1077.5,-2429.0,519.0,-1910.0,2948.0,현재가 상단,외국인 숏·기관 롱 충돌
2026-09-03,2026-07-30,2026-09-03,19,11,1015.0,1020.0,1017.5,-331.0,2175.0,1844.0,2506.0,현재가 하단,외국인 숏·기관 롱 충돌
2026-09-03,2026-07-30,2026-09-03,19,12,1060.0,1065.0,1062.5,-357.0,1476.0,1119.0,1833.0,현재가 상단,외국인 숏·기관 롱 충돌
2026-09-03,2026-07-30,2026-09-03,19,13,1095.0,1100.0,1097.5,1125.0,-691.0,434.0,1816.0,현재가 상단,외국인 롱·기관 숏 충돌
2026-09-03,2026-07-30,2026-09-03,19,14,1035.0,1040.0,1037.5,-1071.0,-595.0,-1666.0,1666.0,현재가 상단,외국인·기관 동반 숏 누적
2026-09-03,2026-07-30,2026-09-03,19,15,1030.0,1035.0,1032.5,1111.0,70.0,1181.0,1181.0,현재가 구간,외국인·기관 동반 롱 누적
